Suhu_C,Kelembaban_persen,Tekanan_Udara_hPa,Kecepatan_Angin_kmjam,Arah_Angin_derajat,Curah_Hujan_mm,Kondisi_Cuaca
25.1,64,1007.2,8.4,102,0.0,Cerah
18.4,61,1005.6,3.1,187,0.0,Cerah
24.3,82,1008.4,11.2,105,4.8,Berawan
19.5,68,1004.1,17.1,174,0.0,Cerah
30.8,79,1011.0,6.4,42,1.4,Berawan
16.4,65,1005.2,24.7,316,1.5,Berawan
30.6,91,1011.6,6.2,263,0.8,Berawan
22.2,61,1012.0,26.7,352,2.5,Berawan
19.7,97,1008.6,22.9,102,3.4,Berawan
25.6,60,1005.8,17.5,214,0.0,Cerah
23.0,88,1013.0,5.4,167,4.1,Berawan
31.3,57,1006.4,19.9,135,1.3,Berawan
17.5,76,1007.3,3.5,338,2.0,Berawan
22.0,61,1008.3,10.1,203,0.0,Cerah
21.0,75,1010.7,5.7,175,2.8,Berawan
25.9,93,1011.7,6.3,269,1.1,Berawan
16.3,62,1005.9,19.7,164,0.4,Berawan
18.4,78,1011.1,20.4,180,2.4,Berawan
24.1,88,1010.4,9.2,190,4.3,Berawan
29.8,89,1010.3,24.2,106,3.0,Berawan
29.1,86,1008.7,15.9,168,1.0,Berawan
22.2,65,1007.7,25.3,227,4.6,Berawan
30.8,93,1011.0,6.8,4,1.8,Berawan
20.8,56,1008.2,18.3,213,1.2,Berawan
26.1,96,1012.2,23.0,154,2.3,Berawan
27.9,56,1005.6,11.8,123,0.0,Cerah
16.0,83,1009.1,21.9,198,4.5,Berawan
26.4,76,1008.3,7.3,254,2.3,Berawan
27.7,96,1008.0,24.4,326,2.9,Berawan
30.1,59,1006.3,25.5,246,3.3,Berawan
28.2,95,1004.2,7.0,107,4.0,Berawan
16.6,83,1007.9,4.7,343,3.3,Berawan
29.9,98,1006.6,3.0,116,3.7,Berawan
27.5,77,1012.6,7.5,11,3.9,Berawan
28.0,84,1009.4,14.1,310,4.4,Berawan
27.2,80,1004.3,16.8,34,0.2,Berawan
20.9,89,1011.2,25.4,16,0.3,Berawan
29.6,86,1010.5,25.3,193,1.5,Berawan
25.0,94,1006.7,14.9,7,4.0,Berawan
18.4,72,1010.5,17.8,74,0.0,Cerah
26.2,70,1005.7,18.1,189,4.1,Berawan
17.5,94,1011.4,16.0,101,4.5,Berawan
18.7,94,1004.7,10.0,113,28.1,Hujan
26.0,89,1010.8,15.8,307,4.5,Berawan
18.7,58,1004.1,28.6,136,4.5,Berawan
21.2,79,1007.6,19.0,190,3.2,Berawan
26.0,87,1009.0,29.7,312,2.9,Berawan
29.6,77,1012.9,11.9,182,3.2,Berawan
22.1,76,1012.7,23.9,157,1.7,Berawan
17.8,81,1012.3,8.1,344,0.3,Berawan
16.9,81,1007.4,21.2,137,2.8,Berawan
27.4,68,1009.1,7.6,209,0.0,Cerah
23.3,59,1012.7,28.7,130,3.9,Berawan
28.3,96,1006.3,22.8,88,2.8,Berawan
26.4,89,1006.0,21.9,306,1.0,Berawan
26.9,93,1011.5,5.0,101,2.5,Berawan
22.9,76,1012.0,19.1,302,0.6,Berawan
27.1,77,1004.6,27.0,222,2.9,Berawan
29.9,88,1009.8,4.7,74,3.9,Berawan
26.5,82,1010.9,19.1,166,2.5,Berawan
30.2,72,1010.9,9.1,134,0.0,Cerah
23.8,64,1009.2,19.3,103,3.5,Berawan
28.8,71,1008.3,15.3,134,0.0,Cerah
16.4,89,1012.6,29.9,333,1.9,Berawan
31.4,91,1010.9,13.3,249,0.3,Berawan
19.8,80,1012.8,12.3,271,4.1,Berawan
17.3,75,1007.1,26.3,131,4.7,Berawan
16.0,76,1004.7,10.4,234,3.4,Berawan
26.6,81,1008.9,18.6,83,4.2,Berawan
27.2,92,1010.9,15.8,261,4.3,Berawan
31.1,82,1011.7,21.3,140,3.3,Berawan
25.4,75,1006.8,20.2,40,0.4,Berawan
21.9,83,1005.5,24.0,147,4.6,Berawan
21.3,60,1011.7,21.0,67,1.6,Berawan
18.4,58,1008.7,22.6,3,0.1,Berawan
30.2,72,1012.0,3.6,142,0.0,Cerah
21.7,66,1005.3,25.9,334,4.5,Berawan
16.9,70,1008.2,6.7,87,0.0,Cerah
18.7,97,1009.6,10.0,49,2.2,Berawan
23.0,97,1010.5,27.0,285,1.2,Berawan
22.5,59,1007.0,21.4,77,0.4,Berawan
24.5,86,1005.8,15.5,272,1.5,Berawan
25.0,59,1006.5,18.4,257,3.9,Berawan
23.5,92,1004.6,17.6,120,46.0,Hujan
27.6,66,1004.4,27.6,298,4.0,Berawan
23.3,62,1004.0,17.1,54,0.0,Cerah
29.2,82,1004.4,4.5,48,0.3,Berawan
20.6,67,1005.1,24.9,19,4.4,Berawan
23.2,63,1006.3,3.4,120,0.0,Cerah
16.3,61,1009.7,23.7,254,2.0,Berawan
22.5,72,1010.0,14.9,16,0.0,Cerah
23.2,62,1006.8,9.3,214,0.0,Cerah
22.2,69,1012.4,20.3,248,2.1,Berawan
18.4,87,1011.2,3.7,354,4.8,Berawan
22.7,90,1009.0,11.3,185,0.9,Berawan
21.6,56,1007.0,28.2,68,4.5,Berawan
30.3,67,1011.7,8.5,356,0.0,Cerah
29.2,76,1006.8,8.2,356,3.9,Berawan
25.4,86,1011.8,6.6,152,2.4,Berawan
19.3,76,1009.8,3.1,310,3.5,Berawan
25.4,93,1012.4,22.4,55,4.1,Berawan
16.8,89,1008.8,11.5,113,1.1,Berawan
30.6,91,1009.6,3.8,352,1.6,Berawan
20.1,90,1008.1,7.2,309,2.6,Berawan
29.2,72,1010.9,11.7,3,0.0,Cerah
23.6,69,1008.2,22.9,345,2.9,Berawan
19.9,61,1006.1,15.2,174,0.0,Cerah
22.8,73,1006.9,24.3,286,3.2,Berawan
32.0,70,1005.1,7.6,120,0.0,Cerah
28.7,59,1012.8,6.2,182,0.0,Cerah
29.4,57,1005.2,28.0,353,0.4,Berawan
24.1,76,1011.3,18.4,342,0.5,Berawan
19.8,84,1011.0,26.3,45,1.7,Berawan
21.1,72,1004.6,20.6,144,2.1,Berawan
28.7,82,1012.2,18.0,140,2.4,Berawan
31.3,95,1009.2,21.5,353,0.1,Berawan
27.2,81,1007.7,18.7,78,2.3,Berawan
29.6,65,1005.8,13.7,194,0.0,Cerah
25.0,64,1007.5,5.4,312,0.0,Cerah
18.7,68,1007.6,25.6,38,1.5,Berawan
24.8,84,1010.2,15.1,159,0.3,Berawan
25.6,75,1011.7,25.1,180,2.4,Berawan
18.1,95,1012.5,22.7,287,0.9,Berawan
24.1,83,1004.1,24.2,178,0.1,Berawan
21.0,78,1012.1,24.3,350,2.4,Berawan
30.4,81,1004.0,22.3,152,1.9,Berawan
30.9,64,1008.5,13.7,296,0.0,Cerah
31.2,93,1012.1,20.9,174,1.3,Berawan
25.7,77,1011.9,23.2,222,4.4,Berawan
28.6,95,1010.8,9.3,99,0.8,Berawan
30.9,65,1013.0,21.6,208,1.2,Berawan
26.2,87,1009.4,9.9,156,0.8,Berawan
16.6,57,1008.0,20.6,271,1.1,Berawan
19.5,58,1005.8,10.1,158,0.0,Cerah
19.8,83,1005.6,18.7,101,1.9,Berawan
21.2,91,1010.2,16.7,266,0.7,Berawan
29.1,66,1005.1,9.2,259,0.0,Cerah
29.2,85,1008.1,7.8,221,0.3,Berawan
25.7,91,1009.7,7.8,309,3.0,Berawan
16.2,88,1005.9,26.3,344,17.9,Hujan
28.8,90,1012.4,19.3,216,1.7,Berawan
25.5,81,1009.9,23.2,200,3.2,Berawan
25.7,68,1005.6,19.3,279,3.9,Berawan
16.8,62,1010.5,12.7,357,0.0,Cerah
30.8,78,1007.1,18.0,152,0.8,Berawan
31.6,77,1008.1,22.5,208,0.8,Berawan
17.2,77,1005.6,13.0,333,1.5,Berawan
20.1,86,1009.7,10.5,321,3.4,Berawan
22.5,70,1007.9,8.2,0,0.0,Cerah
29.0,90,1005.3,4.1,18,1.1,Berawan
31.2,58,1005.6,12.5,306,0.0,Cerah
17.6,88,1010.3,6.5,234,2.1,Berawan
20.1,56,1007.9,3.6,81,0.0,Cerah
16.2,88,1004.7,29.8,140,22.3,Hujan
22.6,79,1006.6,12.2,328,4.5,Berawan
20.5,65,1009.2,5.0,235,0.0,Cerah
23.8,62,1007.6,25.9,237,2.2,Berawan
27.0,84,1011.7,25.1,328,0.2,Berawan
24.6,74,1008.2,23.2,137,0.4,Berawan
16.0,57,1011.2,13.1,274,0.0,Cerah
16.5,56,1009.6,29.0,283,4.8,Berawan
25.0,56,1004.9,21.7,272,2.7,Berawan
27.0,72,1005.5,10.5,290,0.0,Cerah
19.7,70,1006.2,26.4,165,0.8,Berawan
28.3,63,1009.9,17.0,188,0.0,Cerah
26.0,94,1011.3,3.5,215,3.6,Berawan
23.6,97,1007.0,24.8,163,25.2,Hujan
28.8,74,1006.6,7.7,284,0.0,Cerah
25.3,56,1012.0,9.0,336,0.0,Cerah
31.1,65,1012.1,10.7,115,0.0,Cerah
25.6,56,1005.8,10.0,30,0.0,Cerah
19.8,91,1008.9,24.4,55,3.4,Berawan
17.1,61,1010.8,20.7,103,0.6,Berawan
17.4,61,1009.1,13.5,43,0.0,Cerah
32.0,93,1004.9,4.6,244,1.2,Berawan
29.9,60,1004.4,18.6,202,0.6,Berawan
31.6,89,1011.0,22.2,39,1.2,Berawan
16.4,97,1008.9,6.1,158,4.4,Berawan
26.6,70,1007.1,3.8,290,0.0,Cerah
27.8,79,1010.9,3.6,284,3.3,Berawan
28.5,71,1008.0,20.5,264,4.9,Berawan
22.8,89,1005.4,25.6,351,14.3,Hujan
18.0,65,1005.1,27.7,0,3.1,Berawan
24.0,67,1010.8,25.9,359,2.9,Berawan
26.3,85,1011.8,17.3,215,4.1,Berawan
31.2,71,1004.4,22.6,135,3.3,Berawan
28.3,62,1007.5,22.2,188,3.4,Berawan
23.7,86,1011.2,20.4,293,1.1,Berawan
29.3,60,1010.9,28.2,307,2.4,Berawan
26.3,91,1009.6,15.1,332,3.8,Berawan
16.3,62,1006.9,27.8,127,3.9,Berawan
21.3,74,1012.1,14.5,25,0.0,Cerah
20.0,85,1009.6,3.3,282,4.9,Berawan
22.4,94,1012.2,22.8,82,1.8,Berawan
22.7,91,1012.8,5.7,17,4.5,Berawan
17.7,57,1005.1,24.2,249,1.8,Berawan
21.4,82,1012.7,24.2,276,3.6,Berawan
21.9,87,1011.6,16.3,42,0.6,Berawan
20.3,79,1007.2,29.6,16,4.3,Berawan
28.6,82,1010.9,23.0,18,0.2,Berawan
18.9,57,1011.4,21.7,7,4.4,Berawan
25.9,77,1010.6,11.1,299,0.9,Berawan
31.1,77,1011.3,12.8,248,2.8,Berawan
24.5,75,1007.3,16.8,173,0.0,Cerah
30.1,76,1010.0,23.1,74,0.7,Berawan
30.6,69,1012.7,14.2,31,0.0,Cerah
17.4,91,1007.2,26.9,91,47.8,Hujan
18.1,68,1010.3,8.9,189,0.0,Cerah
25.6,77,1009.8,29.9,239,4.2,Berawan
23.5,92,1005.3,25.3,15,49.6,Hujan
16.9,66,1012.1,20.6,330,3.3,Berawan
17.0,94,1004.3,17.3,294,48.9,Hujan
19.4,65,1011.4,14.0,350,0.0,Cerah
27.4,83,1006.1,15.9,30,4.3,Berawan
23.3,74,1012.9,8.0,21,0.0,Cerah
28.9,60,1006.2,12.2,302,0.0,Cerah
28.2,95,1009.9,3.5,327,3.6,Berawan
31.2,87,1012.0,24.9,40,2.4,Berawan
21.6,79,1005.9,5.7,317,0.4,Berawan
22.5,96,1008.1,20.4,345,1.3,Berawan
27.6,58,1008.8,18.3,191,3.7,Berawan
21.6,73,1004.6,9.9,39,0.0,Cerah
26.1,62,1008.7,25.7,53,2.5,Berawan
31.2,88,1004.5,29.0,198,0.2,Berawan
16.9,98,1007.3,29.2,237,28.2,Hujan
21.4,61,1011.2,6.7,204,0.0,Cerah
31.7,93,1006.6,20.8,7,2.4,Berawan
28.8,76,1007.4,7.4,90,2.8,Berawan
26.8,93,1006.4,6.0,293,4.7,Berawan
27.4,68,1010.8,17.8,345,0.0,Cerah
27.5,73,1005.2,19.2,97,3.7,Berawan
30.6,74,1011.1,26.3,312,3.1,Berawan
16.3,88,1009.6,13.3,184,0.3,Berawan
23.0,58,1007.3,17.7,235,0.0,Cerah
19.4,78,1008.4,12.8,306,3.9,Berawan
25.7,91,1012.1,6.0,273,2.1,Berawan
26.5,80,1011.9,19.5,218,3.8,Berawan
30.2,90,1008.3,22.9,308,3.2,Berawan
29.1,91,1007.5,5.8,334,4.7,Berawan
19.0,89,1011.1,24.4,91,3.8,Berawan
19.9,58,1004.9,23.7,193,2.6,Berawan
22.6,62,1007.6,26.9,49,2.8,Berawan
31.4,86,1009.8,18.7,149,1.2,Berawan
17.2,70,1008.5,13.9,26,0.0,Cerah
22.4,76,1007.7,22.4,167,2.3,Berawan
30.1,91,1012.3,29.5,308,1.0,Berawan
26.2,76,1012.2,10.0,271,4.2,Berawan
31.0,66,1006.1,26.7,267,1.9,Berawan
24.3,76,1007.7,4.7,147,2.6,Berawan
30.9,72,1010.4,4.1,290,0.0,Cerah
19.2,62,1011.7,25.2,244,1.7,Berawan
16.6,68,1012.9,28.2,186,4.8,Berawan
28.2,87,1008.7,14.2,298,4.2,Berawan
25.3,55,1007.4,27.4,24,0.6,Berawan
24.0,79,1010.5,5.8,308,3.5,Berawan
27.9,59,1006.9,17.4,93,0.0,Cerah
25.9,86,1005.7,25.9,243,1.4,Berawan
22.6,95,1009.6,14.3,195,2.9,Berawan
20.5,80,1005.7,25.3,270,0.8,Berawan
